=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 3866 | Training...
step 3867 | Training...
step 3868 | Training...
step 3869 | Training...
step 3870 | Training...
step 3871 | Training...
step 3872 | Training...
step 3873 | Training...
step 3874 | Training...
step 3875 | Training...
step 3876 | Training...
step 3877 | Training...
step 3878 | Training...
step 3879 | Training...
step 3880 | Training...
step 3881 | Training...
step 3882 | Training...
step 3883 | Training...
step 3884 | Training...
step 3885 | Training...
step 3886 | Training...
step 3887 | Training...
step 3888 | Training...
step 3889 | Training...
step 3890 | Training...
step 3891 | Training...
step 3892 | Training...
step 3893 | Training...
step 3894 | Training...
step 3895 | Training...
step 3896 | Training...
step 3897 | Training...
step 3898 | Training...
step 3899 | Training...
step 3900 | Training...
step 3901 | Training...
step 3902 | Training...
step 3903 | Training...
step 3904 | Training...
step 3905 | Training...
step 3906 | Training...
step 3907 | Training...
step 3908 | Training...
step 3909 | Training...
step 3910 | Training...
step 3911 | Training...
step 3912 | Training...
step 3913 | Training...
step 3914 | Training...
step 3915 | Training...
step 3916 | Training...
step 3917 | Training...
step 3918 | Training...
step 3919 | Training...
step 3920 | Training...
step 3921 | Training...
step 3922 | Training...
step 3923 | Training...
step 3924 | Training...
step 3925 | Training...
step 3926 | Training...
step 3927 | Training...
step 3928 | Training...
step 3929 | Training...
step 3930 | Training...
step 3931 | Training...
step 3932 | Training...
step 3933 | Training...
step 3934 | Training...
step 3935 | Training...
step 3936 | Training...
step 3937 | Training...
step 3938 | Training...
step 3939 | Training...
step 3940 | Training...
step 3941 | Training...
step 3942 | Training...
step 3943 | Training...
step 3944 | Training...
step 3945 | Training...
step 3946 | Training...
step 3947 | Training...
step 3948 | Training...
step 3949 | Training...
step 3950 | Training...
step 3951 | Training...
step 3952 | Training...
step 3953 | Training...
step 3954 | Training...
step 3955 | Training...
step 3956 | Training...
step 3957 | Training...
step 3958 | Training...
step 3959 | Training...
step 3960 | Training...
step 3961 | Training...
step 3962 | Training...
step 3963 | Training...
step 3964 | Training...
step 3965 | Training...
step 3966 | Training...
step 3967 | Training...
step 3968 | Training...
step 3969 | Training...
step 3970 | Training...
step 3971 | Training...
step 3972 | Training...
step 3973 | Training...
step 3974 | Training...
step 3975 | Training...
step 3976 | Training...
step 3977 | Training...
step 3978 | Training...
step 3979 | Training...
step 3980 | Training...
step 3981 | Training...
step 3982 | Training...
step 3983 | Training...
step 3984 | Training...
step 3985 | Training...
step 3986 | Training...
step 3987 | Training...
step 3988 | Training...
step 3989 | Training...
step 3990 | Training...
step 3991 | Training...
step 3992 | Training...
step 3993 | Training...
step 3994 | Training...
step 3995 | Training...
step 3996 | Training...
step 3997 | Training...
step 3998 | Training...
step 3999 | Training...
step 4000 | Training...
step 4001 | Training...
step 4002 | Training...
step 4003 | Training...
step 4004 | Training...
step 4005 | Training...
step 4006 | Training...
step 4007 | Training...
step 4008 | Training...
step 4009 | Training...
step 4010 | Training...
step 4011 | Training...
step 4012 | Training...
step 4013 | Training...
step 4014 | Training...
step 4015 | Training...
step 4016 | Training...
step 4017 | Training...
step 4018 | Training...
step 4019 | Training...
step 4020 | Training...
step 4021 | Training...
step 4022 | Training...
step 4023 | Training...
step 4024 | Training...
step 4025 | Training...
step 4026 | Training...
step 4027 | Training...
step 4028 | Training...
step 4029 | Training...
step 4030 | Training...
step 4031 | Training...
step 4032 | Training...
step 4033 | Training...
step 4034 | Training...
step 4035 | Training...
step 4036 | Training...
step 4037 | Training...
step 4038 | Training...
step 4039 | Training...
step 4040 | Training...
step 4041 | Training...
step 4042 | Training...
step 4043 | Training...
step 4044 | Training...
step 4045 | Training...
step 4046 | Training...
step 4047 | Training...
step 4048 | Training...
step 4049 | Training...
step 4050 | Training...
step 4051 | Training...
step 4052 | Training...
step 4053 | Training...
step 4054 | Training...
step 4055 | Training...
step 4056 | Training...
step 4057 | Training...
step 4058 | Training...
step 4059 | Training...
step 4060 | Training...
step 4061 | Training...
step 4062 | Training...
step 4063 | Training...
step 4064 | Training...
step 4065 | Training...
step 4066 | Training...
step 4067 | Training...
step 4068 | Training...
step 4069 | Training...
step 4070 | Training...
step 4071 | Training...
step 4072 | Training...
step 4073 | Training...
step 4074 | Training...
step 4075 | Training...
step 4076 | Training...
step 4077 | Training...
step 4078 | Training...
step 4079 | Training...
step 4080 | Training...
step 4081 | Training...
step 4082 | Training...
step 4083 | Training...
step 4084 | Training...
step 4085 | Training...
step 4086 | Training...
step 4087 | Training...
step 4088 | Training...
step 4089 | Training...
step 4090 | Training...
step 4091 | Training...
step 4092 | Training...
step 4093 | Training...
step 4094 | Training...
step 4095 | Training...
step 4096 | Training...
step 4097 | Training...
step 4098 | Training...
step 4099 | Training...
step 4100 | Training...
step 4101 | Training...
step 4102 | Training...
step 4103 | Training...
step 4104 | Training...
step 4105 | Training...
step 4106 | Training...
step 4107 | Training...
step 4108 | Training...
step 4109 | Training...
step 4110 | Training...
step 4111 | Training...
step 4112 | Training...
step 4113 | Training...
step 4114 | Training...
step 4115 | Training...
step 4116 | Training...
step 4117 | Training...
step 4118 | Training...
step 4119 | Training...
step 4120 | Training...
step 4121 | Training...
step 4122 | Training...
step 4123 | Training...
step 4124 | Training...
step 4125 | Training...
step 4126 | Training...
step 4127 | Training...
step 4128 | Training...
step 4129 | Training...
step 4130 | Training...
step 4131 | Training...
step 4132 | Training...
step 4133 | Training...
step 4134 | Training...
step 4135 | Training...
step 4136 | Training...
step 4137 | Training...
step 4138 | Training...
step 4139 | Training...
step 4140 | Training...
step 4141 | Training...
step 4142 | Training...
step 4143 | Training...
step 4144 | Training...
step 4145 | Training...
step 4146 | Training...
step 4147 | Training...
step 4148 | Training...
step 4149 | Training...
step 4150 | Training...
step 4151 | Training...
step 4152 | Training...
step 4153 | Training...
step 4154 | Training...
step 4155 | Training...
step 4156 | Training...
step 4157 | Training...
step 4158 | Training...
step 4159 | Training...
step 4160 | Training...
step 4161 | Training...
step 4162 | Training...
step 4163 | Training...
step 4164 | Training...
step 4165 | Training...
step 4166 | Training...
step 4167 | Training...
step 4168 | Training...
step 4169 | Training...
step 4170 | Training...
step 4171 | Training...
step 4172 | Training...
step 4173 | Training...
step 4174 | Training...
step 4175 | Training...
step 4176 | Training...
step 4177 | Training...
step 4178 | Training...
step 4179 | Training...
step 4180 | Training...
step 4181 | Training...
step 4182 | Training...
step 4183 | Training...
step 4184 | Training...
step 4185 | Training...
step 4186 | Training...
step 4187 | Training...
step 4188 | Training...
step 4189 | Training...
step 4190 | Training...
step 4191 | Training...
step 4192 | Training...
step 4193 | Training...
step 4194 | Training...
step 4195 | Training...
step 4196 | Training...
step 4197 | Training...
step 4198 | Training...
step 4199 | Training...
step 4200 | Training...
step 4201 | Training...
step 4202 | Training...
step 4203 | Training...
step 4204 | Training...
step 4205 | Training...
step 4206 | Training...
step 4207 | Training...
step 4208 | Training...
step 4209 | Training...
step 4210 | Training...
step 4211 | Training...
step 4212 | Training...
step 4213 | Training...
step 4214 | Training...
step 4215 | Training...
step 4216 | Training...
step 4217 | Training...
step 4218 | Training...
step 4219 | Training...
step 4220 | Training...
step 4221 | Training...
step 4222 | Training...
step 4223 | Training...
step 4224 | Training...
step 4225 | Training...
step 4226 | Training...
step 4227 | Training...
step 4228 | Training...
step 4229 | Training...
step 4230 | Training...
step 4231 | Training...
step 4232 | Training...
step 4233 | Training...
step 4234 | Training...
step 4235 | Training...
step 4236 | Training...
step 4237 | Training...
step 4238 | Training...
step 4239 | Training...
step 4240 | Training...
step 4241 | Training...
step 4242 | Training...
step 4243 | Training...
step 4244 | Training...
step 4245 | Training...
step 4246 | Training...
step 4247 | Training...
step 4248 | Training...
step 4249 | Training...
step 4250 | Training...
step 4251 | Training...
step 4252 | Training...
step 4253 | Training...
step 4254 | Training...
step 4255 | Training...
step 4256 | Training...
step 4257 | Training...
step 4258 | Training...
step 4259 | Training...
step 4260 | Training...
step 4261 | Training...
step 4262 | Training...
step 4263 | Training...
step 4264 | Training...
step 4265 | Training...
step 4266 | Training...
step 4267 | Training...
step 4268 | Training...
step 4269 | Training...
step 4270 | Training...
step 4271 | Training...
step 4272 | Training...
step 4273 | Training...
step 4274 | Training...
step 4275 | Training...
step 4276 | Training...
step 4277 | Training...
step 4278 | Training...
step 4279 | Training...
step 4280 | Training...
step 4281 | Training...
step 4282 | Training...
step 4283 | Training...
step 4284 | Training...
step 4285 | Training...
step 4286 | Training...
step 4287 | Training...
step 4288 | Training...
step 4289 | Training...
step 4290 | Training...
step 4291 | Training...
step 4292 | Training...
step 4293 | Training...
step 4294 | Training...
step 4295 | Training...
step 4296 | Training...
step 4297 | Training...
step 4298 | Training...
step 4299 | Training...
step 4300 | Training...
step 4301 | Training...
step 4302 | Training...
step 4303 | Training...
step 4304 | Training...
step 4305 | Training...
step 4306 | Training...
step 4307 | Training...
step 4308 | Training...
step 4309 | Training...
step 4310 | Training...
step 4311 | Training...
step 4312 | Training...
step 4313 | Training...
step 4314 | Training...
step 4315 | Training...
step 4316 | Training...
step 4317 | Training...
step 4318 | Training...
step 4319 | Training...
step 4320 | Training...
step 4321 | Training...
step 4322 | Training...
step 4323 | Training...
step 4324 | Training...
step 4325 | Training...
step 4326 | Training...
step 4327 | Training...
step 4328 | Training...
step 4329 | Training...
step 4330 | Training...
step 4331 | Training...
step 4332 | Training...
step 4333 | Training...
step 4334 | Training...
step 4335 | Training...
step 4336 | Training...
step 4337 | Training...
step 4338 | Training...
step 4339 | Training...
step 4340 | Training...
step 4341 | Training...
step 4342 | Training...
step 4343 | Training...
step 4344 | Training...
step 4345 | Training...
step 4346 | Training...
step 4347 | Training...
step 4348 | Training...
step 4349 | Training...
step 4350 | Training...
step 4351 | Training...
step 4352 | Training...
step 4353 | Training...
step 4354 | Training...
step 4355 | Training...
step 4356 | Training...
step 4357 | Training...
step 4358 | Training...
step 4359 | Training...
step 4360 | Training...
step 4361 | Training...
step 4362 | Training...
step 4363 | Training...
step 4364 | Training...
step 4365 | Training...
step 4366 | Training...
step 4367 | Training...
step 4368 | Training...
step 4369 | Training...
step 4370 | Training...
step 4371 | Training...
step 4372 | Training...
step 4373 | Training...
step 4374 | Training...
step 4375 | Training...
step 4376 | Training...
step 4377 | Training...
step 4378 | Training...
step 4379 | Training...
step 4380 | Training...
step 4381 | Training...
step 4382 | Training...
step 4383 | Training...
step 4384 | Training...
step 4385 | Training...
step 4386 | Training...
step 4387 | Training...
step 4388 | Training...
step 4389 | Training...
step 4390 | Training...
step 4391 | Training...
step 4392 | Training...
step 4393 | Training...
step 4394 | Training...
step 4395 | Training...
step 4396 | Training...
step 4397 | Training...
step 4398 | Training...
step 4399 | Training...
step 4400 | Training...
step 4401 | Training...
step 4402 | Training...
step 4403 | Training...
step 4404 | Training...
step 4405 | Training...
step 4406 | Training...
step 4407 | Training...
step 4408 | Training...
step 4409 | Training...
step 4410 | Training...
step 4411 | Training...
step 4412 | Training...
step 4413 | Training...
step 4414 | Training...
step 4415 | Training...
step 4416 | Training...
step 4417 | Training...
step 4418 | Training...
step 4419 | Training...
step 4420 | Training...
step 4421 | Training...
step 4422 | Training...
step 4423 | Training...
step 4424 | Training...
step 4425 | Training...
step 4426 | Training...
step 4427 | Training...
step 4428 | Training...
step 4429 | Training...
step 4430 | Training...
step 4431 | Training...
step 4432 | Training...
step 4433 | Training...
step 4434 | Training...
step 4435 | Training...
step 4436 | Training...
step 4437 | Training...
step 4438 | Training...
step 4439 | Training...
step 4440 | Training...
step 4441 | Training...
step 4442 | Training...
step 4443 | Training...
step 4444 | Training...
step 4445 | Training...
step 4446 | Training...
step 4447 | Training...
step 4448 | Training...
step 4449 | Training...
step 4450 | Training...
step 4451 | Training...
step 4452 | Training...
step 4453 | Training...
step 4454 | Training...
step 4455 | Training...
step 4456 | Training...
step 4457 | Training...
step 4458 | Training...
step 4459 | Training...
step 4460 | Training...
step 4461 | Training...
step 4462 | Training...
step 4463 | Training...
step 4464 | Training...
step 4465 | Training...
step 4466 | Training...
step 4467 | Training...
step 4468 | Training...
step 4469 | Training...
step 4470 | Training...
step 4471 | Training...
step 4472 | Training...
step 4473 | Training...
step 4474 | Training...
step 4475 | Training...
step 4476 | Training...
step 4477 | Training...
step 4478 | Training...
step 4479 | Training...
step 4480 | Training...
step 4481 | Training...
step 4482 | Training...
step 4483 | Training...
step 4484 | Training...
step 4485 | Training...
step 4486 | Training...
step 4487 | Training...
step 4488 | Training...
step 4489 | Training...
step 4490 | Training...
step 4491 | Training...
step 4492 | Training...
step 4493 | Training...
step 4494 | Training...
step 4495 | Training...
step 4496 | Training...
step 4497 | Training...
step 4498 | Training...
step 4499 | Training...
step 4500 | Training...
step 4501 | Training...
step 4502 | Training...
step 4503 | Training...
step 4504 | Training...
step 4505 | Training...
step 4506 | Training...
step 4507 | Training...
step 4508 | Training...
step 4509 | Training...
step 4510 | Training...
step 4511 | Training...
step 4512 | Training...
step 4513 | Training...
step 4514 | Training...
step 4515 | Training...
step 4516 | Training...
step 4517 | Training...
step 4518 | Training...
step 4519 | Training...
step 4520 | Training...
step 4521 | Training...
step 4522 | Training...
step 4523 | Training...
step 4524 | Training...
step 4525 | Training...
step 4526 | Training...
step 4527 | Training...
step 4528 | Training...
step 4529 | Training...
step 4530 | Training...
step 4531 | Training...
step 4532 | Training...
step 4533 | Training...
step 4534 | Training...
step 4535 | Training...
step 4536 | Training...
step 4537 | Training...
step 4538 | Training...
step 4539 | Training...
step 4540 | Training...
step 4541 | Training...
step 4542 | Training...
step 4543 | Training...
step 4544 | Training...
step 4545 | Training...
step 4546 | Training...
step 4547 | Training...
step 4548 | Training...
step 4549 | Training...
step 4550 | Training...
step 4551 | Training...
step 4552 | Training...
step 4553 | Training...
step 4554 | Training...
step 4555 | Training...
step 4556 | Training...
step 4557 | Training...
step 4558 | Training...
step 4559 | Training...
step 4560 | Training...
step 4561 | Training...
step 4562 | Training...
step 4563 | Training...
step 4564 | Training...
step 4565 | Training...
step 4566 | Training...
step 4567 | Training...
step 4568 | Training...
step 4569 | Training...
step 4570 | Training...
step 4571 | Training...
step 4572 | Training...
step 4573 | Training...
step 4574 | Training...
step 4575 | Training...
step 4576 | Training...
step 4577 | Training...
step 4578 | Training...
step 4579 | Training...
step 4580 | Training...
step 4581 | Training...
step 4582 | Training...
step 4583 | Training...
step 4584 | Training...
step 4585 | Training...
step 4586 | Training...
step 4587 | Training...
step 4588 | Training...
step 4589 | Training...
step 4590 | Training...
step 4591 | Training...
step 4592 | Training...
step 4593 | Training...
step 4594 | Training...
step 4595 | Training...
step 4596 | Training...
step 4597 | Training...
step 4598 | Training...
step 4599 | Training...
step 4600 | Training...
step 4601 | Training...
step 4602 | Training...
step 4603 | Training...
step 4604 | Training...
step 4605 | Training...
step 4606 | Training...
step 4607 | Training...
step 4608 | Training...
step 4609 | Training...
step 4610 | Training...
step 4611 | Training...
step 4612 | Training...
step 4613 | Training...
step 4614 | Training...
step 4615 | Training...
step 4616 | Training...
step 4617 | Training...
step 4618 | Training...
step 4619 | Training...
step 4620 | Training...
step 4621 | Training...
step 4622 | Training...
step 4623 | Training...
step 4624 | Training...
step 4625 | Training...
step 4626 | Training...
step 4627 | Training...
step 4628 | Training...
step 4629 | Training...
step 4630 | Training...
step 4631 | Training...
step 4632 | Training...
step 4633 | Training...
step 4634 | Training...
step 4635 | Training...
step 4636 | Training...
step 4637 | Training...
step 4638 | Training...
step 4639 | Training...
step 4640 | Training...
step 4641 | Training...
step 4642 | Training...
step 4643 | Training...
step 4644 | Training...
step 4645 | Training...
step 4646 | Training...
step 4647 | Training...
step 4648 | Training...
step 4649 | Training...
step 4650 | Training...
step 4651 | Training...
step 4652 | Training...
step 4653 | Training...
step 4654 | Training...
step 4655 | Training...
step 4656 | Training...
step 4657 | Training...
step 4658 | Training...
step 4659 | Training...
step 4660 | Training...
step 4661 | Training...
step 4662 | Training...
step 4663 | Training...
step 4664 | Training...
step 4665 | Training...
step 4666 | Training...
step 4667 | Training...
step 4668 | Training...
step 4669 | Training...
step 4670 | Training...
step 4671 | Training...
step 4672 | Training...
step 4673 | Training...
step 4674 | Training...
step 4675 | Training...
step 4676 | Training...
step 4677 | Training...
step 4678 | Training...
step 4679 | Training...
step 4680 | Training...
step 4681 | Training...
step 4682 | Training...
step 4683 | Training...
step 4684 | Training...
step 4685 | Training...
step 4686 | Training...
step 4687 | Training...
step 4688 | Training...
step 4689 | Training...
step 4690 | Training...
step 4691 | Training...
step 4692 | Training...
step 4693 | Training...
step 4694 | Training...
step 4695 | Training...
step 4696 | Training...
step 4697 | Training...
step 4698 | Training...
step 4699 | Training...
step 4700 | Training...
step 4701 | Training...
step 4702 | Training...
step 4703 | Training...
step 4704 | Training...
step 4705 | Training...
step 4706 | Training...
step 4707 | Training...
step 4708 | Training...
step 4709 | Training...
step 4710 | Training...
step 4711 | Training...
step 4712 | Training...
step 4713 | Training...
step 4714 | Training...
step 4715 | Training...
step 4716 | Training...
step 4717 | Training...
step 4718 | Training...
step 4719 | Training...
step 4720 | Training...
step 4721 | Training...
step 4722 | Training...
step 4723 | Training...
step 4724 | Training...
step 4725 | Training...
step 4726 | Training...
step 4727 | Training...
step 4728 | Training...
step 4729 | Training...
step 4730 | Training...
step 4731 | Training...
step 4732 | Training...
step 4733 | Training...
step 4734 | Training...
step 4735 | Training...
step 4736 | Training...
step 4737 | Training...
step 4738 | Training...
step 4739 | Training...
step 4740 | Training...
step 4741 | Training...
step 4742 | Training...
step 4743 | Training...
step 4744 | Training...
step 4745 | Training...
step 4746 | Training...
step 4747 | Training...
step 4748 | Training...
step 4749 | Training...
step 4750 | Training...
step 4751 | Training...
step 4752 | Training...
step 4753 | Training...
step 4754 | Training...
step 4755 | Training...
step 4756 | Training...
step 4757 | Training...
step 4758 | Training...
step 4759 | Training...
step 4760 | Training...
step 4761 | Training...
step 4762 | Training...
step 4763 | Training...
step 4764 | Training...
step 4765 | Training...
step 4766 | Training...
step 4767 | Training...
step 4768 | Training...
step 4769 | Training...
step 4770 | Training...
step 4771 | Training...
step 4772 | Training...
step 4773 | Training...
step 4774 | Training...
step 4775 | Training...
step 4776 | Training...
step 4777 | Training...
step 4778 | Training...
step 4779 | Training...
step 4780 | Training...
step 4781 | Training...
step 4782 | Training...
step 4783 | Training...
step 4784 | Training...
step 4785 | Training...
step 4786 | Training...
step 4787 | Training...
step 4788 | Training...
step 4789 | Training...
step 4790 | Training...
step 4791 | Training...
step 4792 | Training...
step 4793 | Training...
step 4794 | Training...
step 4795 | Training...
step 4796 | Training...
step 4797 | Training...
step 4798 | Training...
step 4799 | Training...
step 4800 | Training...
step 4801 | Training...
step 4802 | Training...
step 4803 | Training...
step 4804 | Training...
step 4805 | Training...
step 4806 | Training...
step 4807 | Training...
step 4808 | Training...
step 4809 | Training...
step 4810 | Training...
step 4811 | Training...
step 4812 | Training...
step 4813 | Training...
step 4814 | Training...
step 4815 | Training...
step 4816 | Training...
step 4817 | Training...
step 4818 | Training...
step 4819 | Training...
step 4820 | Training...
step 4821 | Training...
step 4822 | Training...
step 4823 | Training...
step 4824 | Training...
step 4825 | Training...
step 4826 | Training...
step 4827 | Training...
step 4828 | Training...
step 4829 | Training...
step 4830 | Training...
step 4831 | Training...
step 4832 | Training...
step 4833 | Training...
step 4834 | Training...
step 4835 | Training...
step 4836 | Training...
step 4837 | Training...
step 4838 | Training...
step 4839 | Training...
step 4840 | Training...
step 4841 | Training...
step 4842 | Training...
step 4843 | Training...
step 4844 | Training...
step 4845 | Training...
step 4846 | Training...
step 4847 | Training...
step 4848 | Training...
step 4849 | Training...
step 4850 | Training...
step 4851 | Training...
step 4852 | Training...
step 4853 | Training...
step 4854 | Training...
step 4855 | Training...
step 4856 | Training...
step 4857 | Training...
step 4858 | Training...
step 4859 | Training...
step 4860 | Training...
step 4861 | Training...
step 4862 | Training...
step 4863 | Training...
step 4864 | Training...
step 4865 | Training...
step 4866 | Training...
step 4867 | Training...
step 4868 | Training...
step 4869 | Training...
step 4870 | Training...
step 4871 | Training...
step 4872 | Training...
step 4873 | Training...
step 4874 | Training...
step 4875 | Training...
step 4876 | Training...
step 4877 | Training...
step 4878 | Training...
step 4879 | Training...
step 4880 | Training...
step 4881 | Training...
step 4882 | Training...
step 4883 | Training...
step 4884 | Training...
step 4885 | Training...
step 4886 | Training...
step 4887 | Training...
step 4888 | Training...
step 4889 | Training...
step 4890 | Training...
step 4891 | Training...
step 4892 | Training...
step 4893 | Training...
step 4894 | Training...
step 4895 | Training...
step 4896 | Training...
step 4897 | Training...
step 4898 | Training...
step 4899 | Training...
step 4900 | Training...
step 4901 | Training...
step 4902 | Training...
step 4903 | Training...
step 4904 | Training...
step 4905 | Training...
step 4906 | Training...
step 4907 | Training...
step 4908 | Training...
step 4909 | Training...
step 4910 | Training...
step 4911 | Training...
step 4912 | Training...
step 4913 | Training...
step 4914 | Training...
step 4915 | Training...
step 4916 | Training...
step 4917 | Training...
step 4918 | Training...
step 4919 | Training...
step 4920 | Training...
step 4921 | Training...
step 4922 | Training...
step 4923 | Training...
step 4924 | Training...
step 4925 | Training...
step 4926 | Training...
step 4927 | Training...
step 4928 | Training...
step 4929 | Training...
step 4930 | Training...
step 4931 | Training...
step 4932 | Training...
step 4933 | Training...
step 4934 | Training...
step 4935 | Training...
step 4936 | Training...
step 4937 | Training...
step 4938 | Training...
step 4939 | Training...
step 4940 | Training...
step 4941 | Training...
step 4942 | Training...
step 4943 | Training...
step 4944 | Training...
step 4945 | Training...
step 4946 | Training...
step 4947 | Training...
step 4948 | Training...
step 4949 | Training...
step 4950 | Training...
step 4951 | Training...
step 4952 | Training...
step 4953 | Training...
step 4954 | Training...
step 4955 | Training...
step 4956 | Training...
step 4957 | Training...
step 4958 | Training...
step 4959 | Training...
step 4960 | Training...
step 4961 | Training...
step 4962 | Training...
step 4963 | Training...
step 4964 | Training...
step 4965 | Training...
step 4966 | Training...
step 4967 | Training...
step 4968 | Training...
step 4969 | Training...
step 4970 | Training...
step 4971 | Training...
step 4972 | Training...
step 4973 | Training...
step 4974 | Training...
step 4975 | Training...
step 4976 | Training...
step 4977 | Training...
step 4978 | Training...
step 4979 | Training...
step 4980 | Training...
step 4981 | Training...
step 4982 | Training...
step 4983 | Training...
step 4984 | Training...
step 4985 | Training...
step 4986 | Training...
step 4987 | Training...
step 4988 | Training...
step 4989 | Training...
step 4990 | Training...
step 4991 | Training...
step 4992 | Training...
step 4993 | Training...
step 4994 | Training...
step 4995 | Training...
step 4996 | Training...
step 4997 | Training...
step 4998 | Training...
step 4999 | Training...
step 5000 | Training...
step 5001 | Training...
step 5002 | Training...
step 5003 | Training...
step 5004 | Training...
step 5005 | Training...
step 5006 | Training...
step 5007 | Training...
step 5008 | Training...
step 5009 | Training...
step 5010 | Training...
step 5011 | Training...
step 5012 | Training...
step 5013 | Training...
step 5014 | Training...
step 5015 | Training...
step 5016 | Training...
step 5017 | Training...
step 5018 | Training...
step 5019 | Training...
step 5020 | Training...
step 5021 | Training...
step 5022 | Training...
step 5023 | Training...
step 5024 | Training...
step 5025 | Training...
step 5026 | Training...
step 5027 | Training...
step 5028 | Training...
step 5029 | Training...
step 5030 | Training...
step 5031 | Training...
step 5032 | Training...
step 5033 | Training...
step 5034 | Training...
step 5035 | Training...
step 5036 | Training...
step 5037 | Training...
step 5038 | Training...
step 5039 | Training...
step 5040 | Training...
step 5041 | Training...
step 5042 | Training...
step 5043 | Training...
step 5044 | Training...
step 5045 | Training...
step 5046 | Training...
step 5047 | Training...
step 5048 | Training...
step 5049 | Training...
step 5050 | Training...
step 5051 | Training...
step 5052 | Training...
step 5053 | Training...
step 5054 | Training...
step 5055 | Training...
step 5056 | Training...
step 5057 | Training...
step 5058 | Training...
step 5059 | Training...
step 5060 | Training...
step 5061 | Training...
step 5062 | Training...
step 5063 | Training...
step 5064 | Training...
step 5065 | Training...
step 5066 | Training...
step 5067 | Training...
step 5068 | Training...
step 5069 | Training...
step 5070 | Training...
step 5071 | Training...
step 5072 | Training...
step 5073 | Training...
step 5074 | Training...
step 5075 | Training...
step 5076 | Training...
step 5077 | Training...
step 5078 | Training...
step 5079 | Training...
step 5080 | Training...
step 5081 | Training...
step 5082 | Training...
step 5083 | Training...
step 5084 | Training...
step 5085 | Training...
step 5086 | Training...
step 5087 | Training...
step 5088 | Training...
step 5089 | Training...
step 5090 | Training...
step 5091 | Training...
step 5092 | Training...
step 5093 | Training...
step 5094 | Training...
step 5095 | Training...
step 5096 | Training...
step 5097 | Training...
step 5098 | Training...
step 5099 | Training...
step 5100 | Training...
step 5101 | Training...
step 5102 | Training...
step 5103 | Training...
step 5104 | Training...
step 5105 | Training...
step 5106 | Training...
step 5107 | Training...
step 5108 | Training...
step 5109 | Training...
step 5110 | Training...
step 5111 | Training...
step 5112 | Training...
step 5113 | Training...
step 5114 | Training...
step 5115 | Training...
step 5116 | Training...
step 5117 | Training...
step 5118 | Training...
step 5119 | Training...
step 5120 | Training...
step 5121 | Training...
step 5122 | Training...
step 5123 | Training...
step 5124 | Training...
step 5125 | Training...
step 5126 | Training...
step 5127 | Training...
step 5128 | Training...
step 5129 | Training...
step 5130 | Training...
step 5131 | Training...
step 5132 | Training...
step 5133 | Training...
step 5134 | Training...
step 5135 | Training...
step 5136 | Training...
step 5137 | Training...
step 5138 | Training...
step 5139 | Training...
step 5140 | Training...
step 5141 | Training...
step 5142 | Training...
step 5143 | Training...
step 5144 | Training...
step 5145 | Training...
step 5146 | Training...
step 5147 | Training...
step 5148 | Training...
step 5149 | Training...
step 5150 | Training...
step 5151 | Training...
step 5152 | Training...
step 5153 | Training...
step 5154 | Training...
step 5155 | Training...
step 5156 | Training...
step 5157 | Training...
step 5158 | Training...
step 5159 | Training...
step 5160 | Training...
step 5161 | Training...
step 5162 | Training...
step 5163 | Training...
step 5164 | Training...
step 5165 | Training...
step 5166 | Training...
step 5167 | Training...
step 5168 | Training...
step 5169 | Training...
step 5170 | Training...
step 5171 | Training...
step 5172 | Training...
step 5173 | Training...
step 5174 | Training...
step 5175 | Training...
step 5176 | Training...
step 5177 | Training...
step 5178 | Training...
step 5179 | Training...
step 5180 | Training...
step 5181 | Training...
step 5182 | Training...
step 5183 | Training...
step 5184 | Training...
step 5185 | Training...
step 5186 | Training...
step 5187 | Training...
step 5188 | Training...
step 5189 | Training...
step 5190 | Training...
step 5191 | Training...
step 5192 | Training...
step 5193 | Training...
step 5194 | Training...
step 5195 | Training...
step 5196 | Training...
step 5197 | Training...
step 5198 | Training...
step 5199 | Training...
step 5200 | Training...
step 5201 | Training...
step 5202 | Training...
step 5203 | Training...
step 5204 | Training...
step 5205 | Training...
step 5206 | Training...
step 5207 | Training...
step 5208 | Training...
step 5209 | Training...
step 5210 | Training...
step 5211 | Training...
step 5212 | Training...
step 5213 | Training...
step 5214 | Training...
step 5215 | Training...
step 5216 | Training...
step 5217 | Training...
step 5218 | Training...
step 5219 | Training...
step 5220 | Training...
step 5221 | Training...
step 5222 | Training...
step 5223 | Training...
step 5224 | Training...
step 5225 | Training...
step 5226 | Training...
step 5227 | Training...
step 5228 | Training...
step 5229 | Training...
step 5230 | Training...
step 5231 | Training...
step 5232 | Training...
step 5233 | Training...
step 5234 | Training...
step 5235 | Training...
step 5236 | Training...
step 5237 | Training...
step 5238 | Training...
step 5239 | Training...
step 5240 | Training...
step 5241 | Training...
step 5242 | Training...
step 5243 | Training...
step 5244 | Training...
step 5245 | Training...
step 5246 | Training...
step 5247 | Training...
step 5248 | Training...
step 5249 | Training...
step 5250 | Training...
step 5251 | Training...
step 5252 | Training...
step 5253 | Training...
step 5254 | Training...
step 5255 | Training...
step 5256 | Training...
step 5257 | Training...
step 5258 | Training...
step 5259 | Training...
step 5260 | Training...
step 5261 | Training...
